# Domain: L_shaped (relative error of each of the first 1000 eigenvalues against its index, dense eig)
# Reference: DST at M = 163, dofs = 19845
# DST: M = 55, dofs = 2241, time = 0.3166 s
# FD: M = 55, dofs = 2241, time = 0.3160 s
# FEM: Hmax = 0.0755, dofs = 2257, time = 0.8483 s
k,lambda_ref,lambda_DST,rel_error_DST,lambda_FD,rel_error_FD,lambda_FEM,rel_error_FEM
85,404.65378044466695,404.65378044466854,3.9332777920760455e-15,395.61727073904416,0.022331459984613833,406.20735674487179,0.0038392729174496791
86,404.65378044505565,404.65378044466928,9.548031840255429e-13,395.61727073906354,0.02233145998550504,406.28959452259528,0.0040425028915842482
87,415.71405744413386,415.92865445796411,0.00051621303149965321,402.52111856652039,0.03173560922795212,417.47720531247654,0.0042412514967205004
88,419.63695035749839,419.59028466324008,0.00011120492182243006,404.98710894967672,0.034910751770884645,421.40491574931286,0.0042130832146890316
89,426.72147930997556,426.80931778370916,0.00020584497849893994,408.86640644771018,0.041842451641144716,428.62083990266996,0.0044510545749085074
90,427.08139872461823,427.07971731197085,3.9369840325357867e-06,409.99045743503484,0.040017995025354899,428.96960920967359,0.0044211957970871126
91,432.92504034653012,433.00009179398,0.00017335898932943657,422.82303322669014,0.023334310049966018,434.82447314094111,0.0043874403589374365
92,443.81345008729971,443.78014339078788,7.504661362849101e-05,430.0791735666063,0.030946057443711612,445.96287962695692,0.0048430923831497335
93,444.13219804900092,444.13219804902513,5.45227221558761e-14,430.0791735666121,0.031641534984676693,446.2231870669255,0.0047080329395390672
94,444.13219804928042,444.1321980490294,5.651932888267543e-13,431.44023849855375,0.028576985875989967,446.25405210455563,0.004777528097703398
95,454.12244224490183,454.12710913650727,1.0276725330658425e-05,435.92179466298188,0.040078723024449425,456.37946045864743,0.0049700653475487511
96,454.12708418922944,454.1378394375671,2.3683344843572046e-05,436.70244414248197,0.038369523979958936,456.39815858401437,0.005000966632147847
97,454.17671925069197,454.9333503485376,0.0016659398550721166,441.69553018011817,0.027480908953601741,456.55738325971043,0.0052417129899262954
98,464.4557794435965,464.44525160104126,2.2667050387113771e-05,452.53256917036748,0.025671357319555051,466.77805070331908,0.0049999835560332398
